교차로명,시도,시군구,도로명,기타주소,도로등급,시행청,준공연도,교차로 유형,회전교차로 유형,로터리 유형,"스쿨존 내
위치여부",교차로 내 신호 여부,"접근로 진입부
양보선 여부",계,신규추가,누락추가,비고,위도,경도,NUMPOINTS
용문IC 회전교차로,경기도,양평군,다문북길,다문리 885-1,"6",지자체,"2017",3지,1차로형,,,,O,,,,,37.483073,127.588714,"1"
공흥리 회전교차로(남한강마트),경기도,양평군,시민로,공흥리859,"6",행정안전부,"2014",3지,1차로형,,,,O,,,,,37.490994,127.498419,"10"
단석교차로,경기도,양평군,양동로,쌍학리 806,"6",지자체,"2015",4지,1차로형,,,,O,,,,,37.405203,127.748513,"1"
아래소정 삼거리,경기도,양평군,석산로,향소리 71-15,"4",지자체,"2017",4지,1차로형,,,,O,,,,,37.554764,127.666818,"0"
바탕골 삼거리,경기도,양평군,감남로,왕창리 3726,"4",지자체,"2017",3지,1차로형,,,,O,,,,,37.487483,127.396158,"1"
양평고등학교 앞,경기도,양평군,양근로,"255","6",지자체,"2016",3지,1차로형,,,,O,,,,,37.486333,127.496553,"2"
강남로 삼거리,경기도,양평군,강남로,교평리 575-2,"4",지자체,"2016",4지,1차로형,,,,O,,,,,37.475692,127.485831,"1"
공흥육교 사거리,경기도 ,양평군,백운길,공흥리 165-1,"6",지자체,"2017",4지,1차로형,,,,O,,,,,37.49981,127.509743,"4"
양평역 앞 섬거리,경기도,양평군,역전길,양근리 365-15,"6",지자체,"2014",3지,1차로형,,,,O,,,,,37.492633,127.491128,"3"
강하 전수삼거리,경기도,양평군,강남로,전수리 1002-6,"4",지자체,"2018",3지,1차로형,,,,O,,,,,37.498529,127.415447,"2"
용문 마룡삼거리,경기도,양평군,용문로,마룡리 423-2,"4",지자체,"2018",3지,1차로형,,,,O,,,,,37.498302,127.604556,"3"
용문 마룡IC,경기도,양평군,용문산로,마룡리 508-1,"4",지자체,"2018",4지,1차로형,,,,O,,,,,37.501637,127.604945,"2"
개군 하자포 삼거리,경기도,양평군,하자포길,하자포리 217-3,"6",지자체,"2018",4지,1차로형,,,,O,,,,,37.426994,127.537618,"3"
양평대교 북단사거리,경기도 ,양평군,양평대교길,양근리266-1,"6",지자체,"2019",4지,1차로형,,,,O,,,,,37.486964,127.491078,"12"
금곡IC 사거리,경기도 ,양평군,용문로,광탄리 595,"4",지자체,"2019",3지,1차로형,,,,O,1,"1",,,37.504711,127.621085,"2"
미곡초등학교입구,경기도,안성시,양성면,노곡리 804,"5",지자체,"2009",4지,1차로형,,,,O,,,,,37.109105,127.245991,"1"
봉산교차로,경기도,안성시,봉산동,"92","4",행정안전부,"2011",6지,2차로형,,,,O,,,,,37.005523,127.279648,"16"
칠곡교차로,경기도,안성시,원곡면,칠곡리 166-2,"5",지자체,"2013",4지,2차로형,,,,O,,,,,37.052206,127.162679,"1"
한주오거리,경기도,안성시,봉남동,"3551","5",행정안전부,"2014",5지,1차로형,,,,O,,,,,37.009276,127.277129,"7"
금산교차로,경기도,안성시,연지동,"161","5",지자체,"2015",5지,1차로형,,,,O,,,,,37.011052,127.270655,"4"
제2산단극동골프연습장앞,경기도,안성시,미양면,계륵리 275,"4",지자체,"2015",4지,1차로형,,,,O,,,,,36.96965,127.249924,"1"
롯데캐슬후문교차로,경기도,안성시,대덕면,신령리 721,"5",지자체,"2016",3지,1차로형,,,,O,,,,,37.015315,127.219939,"1"
천둔사거리,경기도,안성시,일죽면,송천리 3361,"4",지자체,"2016",4지,1차로형,,,,O,,,,,37.085753,127.475394,"0"
신기교차로1,경기도,안성시,미양면,신기리 2024,"4",지자체,"2017",4지,1차로형,,,,O,,,,,36.994149,127.242456,"1"
신기교차로2,경기도,안성시,미양면,신기리 2024,"4",지자체,"2017",4지,1차로형,,,,O,,,,,36.993699,127.241646,"6"
경찰서앞사거리,경기도,안성시,도기동,도기동 506-2,"4",지자체,"2018",4지,2차로형,,,,O,,,,,36.998026,127.250545,"5"
외가천삼거리,경기도,안성시,원곡면,외가천리 166-1,"4",지자체,"2019",3지,1차로형,,,,O,1,"1",,,37.042052,127.134352,"4"
금노마을앞,경기도,안성시,원곡면,칠곡리 85-5,"4",지자체,"2019",5지,1차로형,,,,O,1,"1",,,37.053178,127.164689,"3"
능평교차로,경기도,광주시,오포로,능평리 산24-15,"4",지자체,"2011",4지,1차로형,,,,,,,,,37.346527,127.182878,"4"
광동로터리,경기도,광주시,광동로,광동리 231-7,"4",지자체,"2011",4지,1차로형,,,,,,,,,37.470541,127.307088,"6"
산성로터리,경기도,광주시,남한산성로,산성리 526-2,"4",지자체,"2012",4지,1차로형,,O,,O,,,,,37.477982,127.184182,"1"
광남체육공원앞,경기도,광주시,장지7길,태전동 604-6,"4",지자체,"2017",4지,1차로형,,,,O,,,,,37.38868,127.235959,"0"
쌍령교앞교차로,경기도,광주시,중앙로,쌍령동 39-5,"4",지자체,"2018",4지,1차로형,,,,O,,,,,37.406316,127.264575,"16"
쌍령동회전교차로,경기도,광주시,경충대로1461번길,쌍령동 506-1,"4",민간,"2018",3지,소형,,,,O,,,,,37.399426,127.272133,"1"
부항리입구 회전교차로,경기도,광주시,신만로,부항리 581-11,"4",지자체,"2019",4지,1차로형,,,,O,1,"1",,,37.356864,127.396008,"0"
창뜰육교 회전교차로,경기도,광주시,능평로,능평리 261-6,"4",지자체,"2019",4지,1차로형,,,,O,1,"1",,,37.349529,127.171653,"3"
서희동상오거리,경기도,이천시,중리동,"236","5",행정안전부,"2011",5지,1차로형,,,,O,,,,,37.277448,127.441971,"3"
서희청소년문화센터앞사거리,경기도,이천시,창전동,"486","5",행정안전부,"2012",4지,1차로형,,,,O,,,,,37.280568,127.450212,"8"
산촌회전교차로,경기도,이천시,부발읍,산촌리 산 88,"5",행정안전부,"2013",4지,1차로형,,,,O,,,,,37.275108,127.492553,"0"
장록회전교차로,경기도,이천시,장록동,"4396","4",행정안전부,"2014",5지,1차로형,,,,O,,,,,37.255974,127.456895,"1"
이치1교차로,경기도,이천시,마장면,이치리 265,"5",행정안전부,"2016",4지,1차로형,,,,O,,,,,37.254789,127.381251,"0"
효양중고교회전교차로,경기도,이천시,부발읍,산촌리 산 79,"5",지자체,"2017",4지,1차로형,,,,O,,,,,37.264666,127.483577,"1"
무촌고가하부교차로,경기도,이천시,부발읍,무촌리 산 427,"4",지자체,"2017",3지,1차로형,,,,O,,,,,37.288687,127.491453,"2"
수변공원입구 회전교차로,경기도,이천시,갈산동,"7563","5",지자체,"2017",4지,2차로형,,,,O,,,,,37.281832,127.468392,"3"
가좌리입구 회전교차로,경기도,이천시,부발읍,신하리 463-2,"5",지자체,"2019",3지,1차로형,,,,O,,,,,37.261391,127.468066,"0"
봉우재입구삼거리,경기도,시흥시,봉우재로,209번길,"5",행정안전부,"2011",3지,1차로형,,,,O,,,,,37.358116,126.756672,"1"
배곧신도시 해송십리로 일원,경기도,시흥시,해송십리로,정왕동 2553,"5",지자체,"2016",3지,2차로형,,,,O,,,,,37.37532,126.721971,"0"
배곧신도시 배곧4로 일원①,경기도,시흥시,배곧4로,정왕동 2472,"5",지자체,"2016",4지,1차로형,,O,,O,,,,,37.37347,126.734641,"0"
배곧신도시 배곧4로 일원②,경기도,시흥시,배곧4로,정왕동 2472,"5",지자체,"2016",3지,1차로형,,O,,O,,,,,37.37478,126.732462,"0"
배곧신도시 배곧4로 일원④,경기도,시흥시,배곧4로,정왕동 2472,"5",지자체,"2016",4지,1차로형,,O,,O,,,,,37.377446,126.728003,"0"
배곧신도시 배곧4로 일원⑤,경기도,시흥시,배곧4로,정왕동 2472,"5",지자체,"2016",4지,1차로형,,,,O,,,,,37.378333,126.726509,"0"
시흥프리미엄아울렛 일원,경기도,시흥시,서울대학로,정왕동 177221,"5",지자체,"2016",4지,2차로형,,,,O,,,,,37.375464,126.738076,"0"
배곧신도시 배곧5로 일원①,경기도,시흥시,배곧5로,정왕동 2389,"5",지자체,"2016",3지,1차로형,,,,O,,,,,37.381813,126.731373,"0"
배곧신도시 배곧5로 일원②,경기도,시흥시,배곧5로,정왕동 2389,"5",지자체,"2016",4지,1차로형,,,,O,,,,,37.382392,126.734353,"0"
기계공고교차로,경기도,평택시,비전동,"450","5",행정안전부,"2010",4지,1차로형,,,,O,,,,,36.997612,127.088417,"8"
객사리교차로,경기도,평택시,팽성읍,객사리 96-1,"5",행정안전부,"2011",기타,1차로형,,,,O,,,,,36.964981,127.066795,"4"
평택시장교차로,경기도,평택시,통복동,Feb-61,"5",행정안전부,"2012",3지,1차로형,,,,O,,,,,36.998536,127.083975,"4"
소사벌교차로,경기도,평택시,비전동,"1125","5",LH공사,"2016",4지,1차로형,,,,O,,,,,37.000298,127.113445,"9"
고잔교차로,경기도,평택시,청북읍,고잔리 1-783,"4",경기도 건설본부,"2016",4지,1차로형,,,,O,,,,,37.0614,126.891678,"0"
평택센트럴자이2단지 교차로,경기도,평택시,동삭동,Jan-38,"5",민간,"2019",3지,1차로형,,O,O,O,1,"1",,,37.016097,127.101608,"0"
문원동 주민센터 앞,경기도,과천시,아랫배랭이로,"35","5",지자체,"2009",4지,소형,,O,,,,,,,37.426821,127.00197,"0"
종합운동장 남문,경기도,안양시,운곡로,비산동 1063,"5",행정안전부,"2014",4지,1차로형,,,,O,,,,,37.40398,126.947264,"2"
관양2동 주민센터 앞,경기도,안양시,관양로,관양동 1565,"5",지자체,"2016",4지,1차로형,,,,O,,,,,37.402333,126.970636,"5"
관양고등학교 앞 삼거리,경기도,안양시,일동로,관양동 5255,"5",행정안전부,"2017",4지,1차로형,,,,O,,,,,37.408024,126.960332,"1"
충훈1교 남단 사거리,경기도,안양시,충훈로,박달동 8443,"5",지자체,"2017",4지,1차로형,,,,O,,,,,37.404244,126.903731,"1"
양지초등학교 정문 앞,경기도,안양시,병목안로130번길,안양동 9767,"5",지자체,"2017",3지,소형,,O,,O,,,,,37.391441,126.90538,"0"
아랫마을입구삼거리,경기도,남양주시,소래비로,송천리 25315,"5",행정안전부,"2010",3지,1차로형,,,,O,,,,,37.685122,127.331803,"0"
청소년수련관앞,경기도,남양주시,다산지금로,일패동 709,"5",지자체,"2010",3지,1차로형,,,,O,,,,,37.608232,127.177906,"0"
다산문화유적지앞,경기도,남양주시,다산로,조안리 산15513,"5",지자체,"2011",3지,1차로형,,,,O,,,,,37.52677,127.29938,"0"
궁촌로삼거리,경기도,남양주시,석실로,도곡리 56813,"5",행정안전부,"2012",3지,1차로형,,,,O,,,,,37.576602,127.228068,"1"
내각사거리,경기도,남양주시,금강로,유연들1길,"5",행정안전부,"2012",4지,1차로형,,,,O,,,,,37.703277,127.169575,"1"
차산1교삼거리,경기도,남양주시,수레로,차산리 15625,"4",행정안전부,"2013",3지,1차로형,,,,O,,,,,37.63341,127.302776,"0"
구화도파출소앞,경기도,남양주시,마석중앙로,마석우리 27126,"4",지자체,"2014",4지,1차로형,,,,O,,,,,37.652607,127.306615,"18"
천마초교앞,경기도,남양주시,먹갓로,28번길,"5",지자체,"2015",4지,1차로형,,O,O,O,,,,,37.656618,127.279427,"2"
용신교차로,경기도,남양주시,용신로,신월리 5128,"4",지자체,"2013",5지,2차로형,,,,O,,,,,37.661904,127.171927,"15"
용정1교차로,경기도,남양주시,독정로,용정리 1424,"5",행정안전부,"2017",4지,1차로형,,,,O,,,,,37.678328,127.190157,"1"
임광그대가앞,경기도,남양주시,천마산로,호평동 2576,"5",지자체,"2016",4지,1차로형,,,,O,,,,,37.662797,127.248356,"2"
호평파라곤앞,경기도,남양주시,천마산로,호평동 3492,"5",지자체,"2011",4지,1차로형,,,,O,,,,,37.670202,127.25138,"0"
삼거리농원앞,경기도,남양주시,덕흥로,별내동 2233-44,"5",LH공사,"2016",3지,1차로형,,,,O,,,,,37.681476,127.109614,"2"
봉현교차로,경기도,남양주시,장현로,장현리 677-4,"5",행정안전부,"2018",4지,1차로형,,,,O,,,,,37.714117,127.179546,"1"
사능교차로,경기도,남양주시,사릉로,사능리 425,"5",지자체,"2018",4지,1차로형,,,,O,,,,,37.650985,127.18681,"3"
대야미역앞,경기도,군포시,대야미동,산42,"5",행정안전부,"2011",5지,1차로형,,,,O,,,,,37.327511,126.917162,"6"
당말지하차도 위 교차로,경기도,군포시,당동,"869","5",지자체,"2010",4지,,2차로형,,,,,,,,37.355808,126.941589,"3"
경복대입구교차로,경기도,포천시,신평로,신북면 신평리 106-1,"5",행정안전부,"2013",3지,1차로형,,,,,,,,,37.944966,127.224722,"1"
해룡고개회전교차로,경기도,포천시,삼육사로,선단동 823-8,"5",지자체,"2017",3지,1차로형,,,,O,,,,,37.862139,127.144697,"1"
무봉1교차로,경기도,포천시,거친봉이길,무봉리 445-10,"5",LH공사,"2017",4지,1차로형,,,,O,,,,,37.790761,127.131495,"1"
선단5통교차로,경기도,포천시,송선로,선단동 808-57 ,"5",지자체,"2019",4지,1차로형,,,,O,,,,,37.859714,127.151697,"8"
샘말 회전교차로,경기도,포천시,화동로,일동면 기산리 637-2,"5",지자체,"2019",4지,1차로형,,,,O,1,"1",,,37.942889,127.310738,"6"
의왕역앞 삼거리,경기도,의왕시,부곡중앙로,삼동 471-87,"5",지자체,"2016",3지,2차로형,,,O,O,,,,,37.320936,126.948967,"7"
미정,경기도 ,의왕시,장안로,삼동 249-2,"5",장안의왕 AMC,"2019",4지,1차로형,,O,,O,,,,,37.320167,126.958578,"0"
전곡입구 오거리 교차로 앞 ,경기도,연천군,전곡로,"5","5",지자체,"2012",4지,1차로형,,,,,,,,,38.014703,127.070399,"7"
연천역앞 교차로,경기도,연천군,문화로,"82","5",지자체,"2017",4지,1차로형,,,,O,,,,,38.105298,127.078796,"2"
고능 삼거리,경기도,연천군,양연로,"1388","5",국토관리사업소,"2019",4지,1차로형,,,,O,1,"1",,,38.007618,127.054355,"0"
은대리 교차로,경기도,연천군,평화로,"699","5",경기도 건설본부,"2019",4지,1차로형,,,,O,1,"1",,,38.02918,127.063151,"1"
하성교차로,경기도,김포시,하성면,석탄리 530-1,"4",지자체,"2012",4지,2차로형,,,,O,,,,,37.719864,126.634437,"3"
대서명교차로,경기도,김포시,통진읍,서암리 624-14,"4",지자체,"2013",4지,2차로형,,,,O,,,,,37.697363,126.609538,"1"
서암교차로,경기도,김포시,통진읍,서암리 347-9,"4",지자체,"2013",4지,2차로형,,,,O,,,,,37.703778,126.606903,"2"
고정교차로,경기도,김포시,통진읍,고정리 942-4,"4",지자체,"2013",3지,1차로형,,,,O,,,,,37.71083,126.602777,"0"
옹주물교차로,경기도,김포시,장기동,809-54,"5",지자체,"2017",3지,1차로형,,,,O,,,,,37.634664,126.68443,"1"
마산교차로,경기도,김포시,마산동,"724","5",지자체,"2014",3지,1차로형,,,,O,,,,,37.636015,126.644944,"0"
운양교차로,경기도,김포시,운양동,1310-1,"5",지자체,"2015",4지,1차로형,,,,O,,,,,37.615846,126.687351,"2"
샘재사거리,경기도,김포시,운양동,1280-2,"5",지자체,"2017",4지,2차로형,,,,O,,,,교차로 명칭 변경(풀입교- 샘재),37.649073,126.700303,"8"
샘재교차로,경기도,김포시,운양동,1320-18,"5",지자체,"2017",3지,1차로형,,,,O,,,,,37.647723,126.70017,"3"
입북초교사거리,경기도,수원시 권선구,율전로,입북동 229-13,"5",지자체,"2013",4지,1차로형,,O,"0",O,,,,,37.29516,126.961252,"3"
고등동오거리,경기도,수원시 팔달구,고등로,고등동 118,"5",지자체,"2010",5지,1차로형,,,,O,,,,,37.273453,127.00611,"9"
경기도 건설본부 앞,경기도,수원시 권선구,칠보로,금곡동 784-2,"5",지자체,"2018",3지,1차로형,,,,O,,,,,37.267647,126.939428,"1"
방죽교사거리,경기도,수원시 권선구,입북로,입북동 157-21,"5",지자체,"2019",4지,1차로형,,,,O,,,,,37.298764,126.957717,"1"
경기도청 앞,경기도,수원시 팔달구,효원로,매산로3가 5-6,"5",지자체,"2018",4지,1차로형,,,,O,1,,"1",,37.273509,127.00965,"3"
갤럭시장사거리,경기도,안산시 상록구,샘골로,본오동 686,"5",행정안전부,"2010",4지,소형,,,,O,,,,,37.28867,126.863866,"3"
사사동 회전교차로,경기도,안산시 상록구,어사로,사사동 3966,"5",지자체,"2011",4지,1차로형,,,,O,,,,,37.297237,126.919462,"3"
선부광장북로 로터리,경기도,안산시 단원구,선부광장북로,선부동 115814,"5",행정안전부,"2012",4지,1차로형,,,,O,,,,,37.33907,126.810292,"4"
원일중 삼거리,경기도,안산시 단원구,석수로,선부동 115813,"5",지자체,"2014",3지,소형,,,,O,,,,,37.338189,126.807623,"7"
새뿔사거리,경기도,안산시 단원구,새뿔길,신길동 585-2,"5",행정안전부,"2018",4지,1차로형,,,,O,,,,,37.3361,126.771017,"3"
샛터삼거리,경기도 ,안산시 단원구,대남로,대부남동 203-17,"5",행정안전부,"2019",3지,1차로형,,,,O,1,"1",,,37.231921,126.583085,"0"
초이교차로,경기도,하남시,초이로,초이동 3374,"5",행정안전부,"2010",3지,1차로형,,,,O,,,,,37.533116,127.170666,"0"
초광로 회전교차로,경기도,하남시,초광로,광암동 103,"5",행정안전부,"2017",3지,1차로형,,,,O,,,,,37.531337,127.17265,"1"
반석교회앞 삼거리,경기도,하남시,천현로,신장동 552,"5",행정안전부,"2019",3지,1차로형,,,,O,1,"1",,,37.538783,127.22006,"2"
하남테크노U1센터 입구,경기도,하남시,하남대로983번길,풍산동 395-9 ,"5",민간,"2020",4지,1차로형,,,,O,1,"1",,,37.544901,127.193902,"0"
무송동 회전교차로,경기도,화성시,현대기아로,"2461","5",행정안전부,"2011",3지,1차로형,,,,O,,,,,37.181259,126.845007,"2"
화산삼거리,경기도,화성시,남양만로,"6684","4",행정안전부,"2014",4지,1차로형,,,,O,,,,,37.06244,126.792416,"0"
팔탄면검문소삼거리,경기도,화성시,푸른들판로,"3942","4",행정안전부,"2015",3지,1차로형,,,,O,,,,,37.154544,126.898947,"1"
기아자동차사거리,경기도,화성시,남양만로,"17144","5",지자체,"2014",3지,1차로형,,,O,O,,,,,37.026453,126.795177,"1"
서신사거리,경기도,화성시,궁평항로,"2886","5",지자체,"2013",4지,1차로형,,,,O,,,,,37.167564,126.708199,"1"
신외교차로,경기도,화성시,남양로,"5554","5",지자체,"2015",4지,1차로형,,,,O,,,,,37.269743,126.815661,"1"
수기교차로,경기도,화성시,최루백로,"1947","4",지자체,"2014",3지,1차로형,,,,O,,,,,37.198358,126.970558,"0"
원천교차로,경기도,화성시,남양서로,"2215","5",지자체,"2017",3지,1차로형,,,,O,,,,,37.230072,126.805523,"1"
방교1교차로,경기도,화성시,동탄산단7길,"87511","5",LH공사,"2014",3지,소형,,,,O,,,,,37.181472,127.085889,"0"
방교2교차로,경기도,화성시,동탄산단7길,"87511","5",LH공사,"2014",3지,소형,,,,O,,,,,37.179291,127.085954,"0"
금반교차로,경기도,화성시,동탄기흥로277번길,"9003","5",LH공사,"2014",3지,2차로형,,,,O,,,,,37.185678,127.085497,"1"
산단1교차로,경기도,화성시,동탄산단2길,"869","5",LH공사,"2014",3지,소형,,,,O,,,,,37.163213,127.088661,"1"
산단2교차로,경기도,화성시,동탄산단6길,"860","5",LH공사,"2014",3지,소형,,,,O,,,,,37.171523,127.092432,"0"
산단3교차로,경기도,화성시,동탄산단6길,"860","5",LH공사,"2014",3지,소형,,,,O,,,,,37.169176,127.09139,"0"
산단4교차로,경기도,화성시,동탄산단9길,"851","5",LH공사,"2014",3지,소형,,,,O,,,,,37.17517,127.089446,"0"
서봉교차로,경기도,화성시,서봉로,"2976","4",지자체,"2017",3지,1차로형,,,,O,,,,,37.117775,126.945447,"1"
산단5교차로,경기도,화성시,동탄산단10길,"793","5",LH공사,"2014",3지,소형,,,,O,,,,,37.180186,127.093933,"0"
산단6교차로,경기도,화성시,동탄산단10길,"793","5",LH공사,"2014",3지,소형,,,,O,,,,,37.181725,127.093705,"0"
정남교차로,경기도,화성시,정남면,괘랑리 2977,"4",지자체,"2015",3지,1차로형,,,,O,,,,,37.177753,126.98779,"2"
장현사거리,경기도,양주시,은현로,은현면 하패리 674-1,"4",행정안전부,"2014",4지,1차로형,,,,O,,,,,37.887958,127.023597,"1"
토교장사거리,경기도 ,양주시,삼육사로,남면 신산리 77-2,"4",지자체,"2016",4지,1+2차로형,,,,O,,,,,37.890372,126.978494,"7"
남면외식고앞,경기도,양주시,개나리길,남면 신산리 169-3,"5",지자체,"2016",5지,1차로형,,O,,O,,,,,37.897192,126.978014,"1"
덕도삼거리,경기도,양주시,화합로,광적면 덕도리 산134-3,"4",지자체,"2017",3지,1차로형,,,,O,,,,,37.85687,126.954318,"1"
옥정지구 내 도시계획도로①,경기도,양주시,독바위로,옥정동 941-8,"5",지자체,"2017",3지,2차로형,,,,O,,,,,37.812928,127.083214,"0"
옥정지구 내 도시계획도로②,경기도,양주시,청담로116번길,옥정동 636,"5",지자체,"2017",4지,1차로형,,,,O,,,,,37.822678,127.081869,"0"
옥정지구 내 도시계획도로③,경기도,양주시,청담로116번길,옥정동 663-1,"5",지자체,"2017",4지,1차로형,,,,O,,,,,37.824392,127.084417,"1"
옥정지구 내 도시계획도로④,경기도,양주시,옥정동로9길,옥정동 1021,"5",지자체,"2017",4지,1차로형,,,,O,,,,,37.831613,127.096007,"0"
옥정지구 내 도시계획도로⑤,경기도,양주시,화합로1710번길,옥정동 864-251,"5",지자체,"2017",3지,1차로형,,,,O,,,,,37.832569,127.100164,"0"
산운길1 삼거리,경기도,성남시 분당구,산운로,운중동 879,"5",LH공사,"2011",3지,소형,,,,,,,,,37.392962,127.063621,"0"
산운길2 삼거리,경기도,성남시 분당구,산운로,운중동 892-4,"5",LH공사,"2011",3지,소형,,O,,O,,,,,37.392534,127.068136,"0"
산운길4 삼거리,경기도,성남시 분당구,산운로,운중동 982-13,"5",LH공사,"2011",3지,소형,,,,,,,,,37.39326,127.078447,"0"
산운길5 삼거리,경기도,성남시 분당구,산운로,운중동 995-43,"5",LH공사,"2011",3지,소형,,,,,,,,,37.39301,127.081819,"0"
고등IC 삼거리,경기도,성남시 수정구,청계산로,고등동 526-39,"5",LH공사,"2019",3지,소형,,,,,1,"1",,,37.429067,127.091494,"8"
가평군청 앞,경기도,가평군,석봉로,"181","6",행정안전부,"2015",4지,1차로형,,,,O,,,,,37.83126,127.510439,"1"
가평소방서 사거리,경기도,가평군,가화로,"36","2",지자체,"2017",4지,1차로형,,,,O,,,,,37.823713,127.515734,"6"
석사울삼거리,경기도,가평군,조종면 현리 2031,현리 1979,"4",행정안전부,"2013",3지,1차로형,,,,O,,,,,37.822821,127.343266,"0"
부대 앞 삼거리,경기도,가평군,조종면 현리 6351,현리 5131,"4",지자체,"2014",3지,1차로형,,,,O,,,,,37.806787,127.354268,"1"
설악면사무소 앞,경기도,가평군,설악면 신천리 40810,신천리 836,"4",지자체,"2010",3지,1차로형,,,,,,,,,37.676346,127.493803,"1"
창동 회전교차로,경기도,여주시,여흥로 ,창동 239,"5",지자체,"2007",4지,2차로형,,,,,,,,,37.295817,127.633025,"4"
여강 회전교차로,경기도,여주시,여강로,북내면 신접리 221-5,"5",지자체,"2010",4지,1차로형,,,,,,,,,37.32972,127.685581,"0"
하동 회전교차로,경기도,여주시,여흥로 35,하동 61-3,"5",지자체,"2011",4지,1차로형,,,,O,,,,,37.299602,127.626244,"0"
교동 회전교차로,경기도,여주시,교동로,교동 430-24,"5",지자체,"2011",3지,1차로형,,,,,,,,,37.278087,127.629933,"0"
강천 회전교차로,경기도,여주시,강문로,강천면 간매리 307-3,"5",지자체,"2013",3지,1차로형,,,,O,,,,,37.273544,127.711807,"0"
효지 회전교차로,경기도,여주시,흥천로,흥천면 효지리 99,"5",행정안전부,"2013",4지,1차로형,,,,O,,,,,37.329379,127.540005,"0"
흥천 회전교차로,경기도,여주시,흥천로,흥천면 대당리 22-11,"5",지자체,"2013",4지,1차로형,,,,O,,,,,37.325091,127.554741,"1"
매류 회전교차로,경기도,여주시,양화로,능서면 매류리 624,"4",행정안전부,"2014",3지,1차로형,,,,O,,,,,37.276332,127.562163,"1"
점동 회전교차로,경기도,여주시,청안로,점동면 청안리97-4,"4",지자체,"2017",4지,1차로형,,,,O,,,,,37.201163,127.661012,"1"
광대 회전교차로,경기도,여주시,월평로,능서면 오계리 575-2,"5",지자체,"2017",4지,1차로형,,,,O,,,,,37.267094,127.58545,"3"
율촌 회전교차로,경기도,여주시,여양로,대신면 율촌리 264-3,"4",지자체,"2017",3지,1차로형,,,,O,,,,,37.376261,127.591917,"0"
태평 회전교차로,경기도,여주시,태평로,가남읍 태평리 560,"5",지자체,"2017",4지,1차로형,,,,O,,,,,37.204218,127.544084,"4"
상우아파트 회전교차로,경기도,여주시,세종로,홍문동 384-2,"5",지자체,"2017",3지,소형,,,,O,,,,,37.28285,127.637657,"0"
본두1교차로,경기도,여주시,여주남로,본두리 129-4,"4",지자체,"2017",3지,2차로형,,,,O,,,,,37.243692,127.585831,"0"
본두2교차로,경기도,여주시,여주남로,본두리 389-1,"4",지자체,"2017",3지,2차로형,,,,O,,,,,37.242203,127.581264,"0"
영릉 회전교차로,경기도,여주시,중부대로,왕대리 949-15,"5",지자체,"2018",3지,1차로형,,,,O,1,,"1",,37.304873,127.61297,"0"
홍문 회전교차로,경기도,여주시,세종로,홍문동 146-24,"5",지자체,"2019",4지,1차로형,,,,O,1,"1",,,37.293436,127.638636,"0"
귀백 회전교차로,경기도,여주시,능북로,귀백리 49-6,"4",지자체,"2019",4지,1차로형,,,,O,1,"1",,,37.341048,127.559998,"4"
매류초앞 회전교차로,경기도,여주시,부능로,매류리 605-40,"4",지자체,"2019",3지,1차로형,,,,O,1,"1",,,37.275233,127.557214,"0"
이포 회전교차로,경기도,여주시,이여로,이포리 408,"4",지자체,"2019",3지,1차로형,,,,O,,,,,37.387961,127.531306,"1"
금촌로터리,경기도,파주시,금촌동,962-22,"5",행정안전부,"2012",5지,2차로형,,,,O,,,,,37.757791,126.773657,"27"
법원도서관입구삼거리,경기도,파주시,법원읍,법원리 415-66,"4",행정안전부,"2012",3지,1차로형,,,,O,,,,,37.846619,126.887014,"1"
선유로터리,경기도,파주시,문산읍,선유리 666-26,"4",행정안전부,"2013",3지,2차로형,,,,O,,,,,37.857945,126.794597,"26"
청암초교앞 회전교차로,경기도,파주시,목동동,114-17,"5",지자체,"2016",4지,1차로형,,O,,O,,,,,37.73022,126.73906,"1"
동문1차 앞 회전교차로,경기도,파주시,와동동,"1320","5",지자체,"2011",3지,1차로형,,O,,O,,,,,37.733096,126.756506,"1"
해솔초 앞 회전교차로,경기도,파주시,목동동,"664","5",지자체,"2011",3지,1차로형,,O,,O,,,,,37.725874,126.747163,"0"
운정고 앞 회전교차로,경기도,파주시,목동동,1061-3,"5",지자체,"2012",3지,1차로형,,,,,,,,,37.721657,126.739726,"0"
두산위브 회전교차로,경기도,파주시,목동동,"743","5",지자체,"2013",4지,1차로형,,,,,,,,,37.730913,126.746115,"0"
황룡과선교(밑) 회전교차로,경기도,파주시,야당동,289-34,"5",지자체,"2013",3지,1차로형,,,,,,,,,37.721387,126.765661,"1"
월롱역(뒤) 회전교차로,경기도,파주시,월롱면,위전리 238-6,"5",지자체,"2010",2지,2차로형,,,,,,,,,37.797983,126.794597,"1"
금촌팜스프링 회전교차로,경기도,파주시,아동동,291-3,"5",지자체,"2011",4지,2차로형,,,,O,,,,,37.770944,126.777222,"8"
연풍4리교차로,경기도,파주시,파주읍,124-122,"4",국토부,"2016",4지,2차로형,,,,O,,,,,37.82579,126.843467,"12"
분수교차로,경기도,파주시,광탄면,신산리 125-12,"4",지자체,"2016",3지,1차로형,,,,O,,,,,37.772523,126.85016,"0"
아마니고개삼거리,경기도,파주시,적성면,적암리 24-4,"4",지자체,"2019",3지,1차로형,,,,O,1,"1",,,37.985036,127.12583,"0"
