"무인교통단속카메라관리번호",시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치년도,관리기관명,관리기관전화번호,데이터기준일자
F6013,인천광역시,남동구,특별시도,49번,호구포로,1,,인천 남동구 호구포로 작은구월4 (간석4 → 큰방죽4),37.4487848300,126.7184122000,인천 남동구 호구포로 작은구월4 (간석4 → 큰방죽4),2,50,,,,2010,인천지방경찰청,032-455-2352,2020-06-30
F6014,인천광역시,남동구,기타,12번,청능대로,1,,인천 남동구 논현1동 109-18,37.4057160100,126.7358474000,인천 남동구 청능대로 소래초교4 (논현역4 → 소래나들목3),2,60,,,2,2010,인천지방경찰청,032-455-2352,2020-06-30
F6015,인천광역시,남동구,특별시도,12번,청능대로,2,,인천 남동구 논현1동 179-47,37.4035217500,126.7311381000,인천 남동구 청능대로 논현신영4 (소래나들목3 → 논현역4),2,60,,,,2010,인천지방경찰청,032-455-2352,2020-06-30
F6017,인천광역시,부평구,특별시도,33번,경원대로,2,,인천 부평구 십정1동 341-3,37.4734478400,126.6917898000,인천 부평구 경원대로 십정4 (석암4 → 열우물4),2,60,,,,2010,인천지방경찰청,032-455-2352,2020-06-30
F6018,인천광역시,부평구,특별시도,41번,마장로,2,,인천 부평구 청천2동 청중로 65,37.5176338600,126.7044787000,인천 부평구 마장로 청천4 (원적4 → 청수4),2,60,,,,2010,인천지방경찰청,032-455-2352,2020-06-30
F6019,인천광역시,서구,지방도,84번,서곶로,3,,인천 서구 공촌동 산30-4,37.5575802100,126.6775798000,인천 서구 서곶로 446 대인고등학교 앞 (공촌4 → 검암4),2,50,,,,2010,인천지방경찰청,032-455-2352,2020-06-30
F6020,인천광역시,서구,지방도,84번,봉수대로,2,,인천 서구 신현원창동 232-7,37.5181141900,126.6625809000,인천 서구 봉수대로 원신터널4 (모래방죽4 → 인천아시아드경기장),2,60,,,,2010,인천지방경찰청,032-455-2352,2020-06-30
F6021,인천광역시,서구,지방도,84번,중봉대로,2,,인천 서구 중봉대로 율도입구4 (북항4 → 경서3),37.5157965600,126.6492176000,인천 서구 중봉대로 율도입구4 (북항4 → 경서3),2,60,,,,2010,인천지방경찰청,032-455-2352,2020-06-30
F6022,인천광역시,계양구,특별시도,53번,장제로,1,,인천 계양구 오류동 144-3,37.5870376600,126.7239976000,인천 계양구 장제로 1423 오류세차장 앞 (유현4 → 장기4),2,60,,,,2010,인천지방경찰청,032-455-2352,2020-06-30
F6025,인천광역시,강화,일반국도,48번,강화대로,1,,인천 강화군 강화읍 갑곳리 654,37.7390643100,126.5083298000,인천 강화군 강화읍 강화대로 현대아파트 입구 (알미골4 → 강화대교),2,60,,,,2010,인천지방경찰청,032-455-2352,2020-06-30
F6026,인천광역시,강화,일반국도,48번,강화대로,2,,인천 강화군 강화읍 갑곳리 199-1,37.7429070200,126.4919724000,인천 강화군 강화읍 강화대로 알미골4 (강화대교 → 신문4),2,60,,,,2010,인천지방경찰청,032-455-2352,2020-06-30
F6027,인천광역시,연수구,지방도,98번,아암대로,2,,인천 연수구 아암대로 송도3교4 (외암도4 → 옹암4),37.4088139200,126.6464181000,인천 연수구 아암대로 송도3교4 (외암도4 → 옹암4),2,60,,,,2010,인천지방경찰청,032-455-2352,2020-06-30
F6028,인천광역시,연수구,특별시도,04번,인천타워대로,1,,인천 연수구 인천타워대로 센트럴파크역 앞 (인천대입구역 → 국제업무지구역),37.4034620600,126.6785310000,인천 연수구 인천타워대로 센트럴파크역 앞 (인천대입구역 → 국제업무지구역),2,60,,,,2010,인천지방경찰청,032-455-2352,2020-06-30
F6029,인천광역시,연수구,특별시도,33번,경원대로,2,,인천 연수구 경원대로 신연수역4 (원인재역 → 선학역4),37.4180500700,126.6942807000,인천 연수구 경원대로 신연수역4 (원인재역 → 선학역4),2,60,,,,2010,인천지방경찰청,032-455-2352,2020-06-30
F6030,인천광역시,연수구,특별시도,21번,컨벤시아대로,1,,인천 연수구 컨벤시아대로 컨벤시아4 (송도2교4 → 인천대역4),37.3910616500,126.6446233000,인천 연수구 컨벤시아대로 컨벤시아4 (송도2교4 → 인천대역4),2,60,,,,2010,인천지방경찰청,032-455-2352,2020-06-30
F6031,인천광역시,부평구,특별시도,53번,장제로,1,,인천 부평구 갈산1동 53-9,37.5174325600,126.7320689000,인천 부평구 장제로 삼산4 (갈월4 → 갈삼4),2,60,,,,2010,인천지방경찰청,032-455-2352,2020-06-30
F6033,인천광역시,부평구,특별시도,45번,부평대로,2,,인천 부평구 갈산동 158-2,37.5167896600,126.7216778000,인천 부평구 부평대로 갈산역4 (부평구청4 → 부평IC4),2,60,,,,2010,인천지방경찰청,032-455-2352,2020-06-30
F6034,인천광역시,부평구,일반국도,46번,경인로,2,,인천 부평구 일신동 90-38,37.4856626700,126.7438113000,인천 부평구 경인로 일신종합시장 건너편 (구산4 → 부개4),2,60,,,,2010,인천지방경찰청,032-455-2352,2020-06-30
F6035,인천광역시,연수구,지방도,98번,아암대로,1,,인천 연수구 아암대로 아암도 해상공원 부근 (옹암4 → 송도3교4),37.4166042100,126.6388404000,인천 연수구 아암대로 아암도 해상공원 부근 (옹암4 → 송도3교4),1,60,,,,2010,인천지방경찰청,032-455-2352,2020-06-30
F6036,인천광역시,계양구,고속국도,100번,외곽순환고속도로,1,,인천 계양구 박촌동 161-4,37.5553130800,126.7504809000,인천 계양구 동양동 외곽순환고속도로 80.8km (계양IC → 노오지IC),1,100,,,,2010,인천지방경찰청,032-455-2352,2020-06-30
F6594,인천광역시,미추홀구,지방도,98번,아암대로,2,,인천 남구 용현동 627-482,37.4513414400,126.6315926000,인천 미추홀구 아암대로 낙섬4 (옹암4 → 인하대병원4),2,60,,,,2011,인천지방경찰청,032-455-2352,2020-06-30
F6595,인천광역시,미추홀구,특별시도,21번,미추홀대로,2,,인천 미추홀구 미추홀대로 문학4 (문학터널 → 신기시장4),37.4397229400,126.6780002000,인천 미추홀구 미추홀대로 문학4 (문학터널 → 신기시장4),2,60,,,,2011,인천지방경찰청,032-455-2352,2020-06-30
F6596,인천광역시,남동구,특별시도,49번,호구포로,3,,인천 남동구 남촌동 54-6,37.4311524400,126.7182958000,인천 남동구 호구포로 남촌풍림아파트 앞 (선수촌4 → 큰방죽4),2,60,,,,2011,인천지방경찰청,032-455-2352,2020-06-30
F6597,인천광역시,남동구,특별시도,49번,호구포로,3,,인천 남동구 남촌동 82-5,37.4301002700,126.7185693000,인천 남동구 호구포로 남촌풍림아파트 건너편 (큰방죽4 → 선수촌4),2,60,,,,2011,인천지방경찰청,032-455-2352,2020-06-30
F6599,인천광역시,부평구,특별시도,53번,장제로,2,,인천 부평구 부평동 915-3,37.5043195800,126.7312136000,인천 부평구 장제로 개흥초교입구4 (부흥5 → 신복4),2,60,,,,2011,인천지방경찰청,032-455-2352,2020-06-30
F6600,인천광역시,동구,특별시도,22번,인중로,1,,인천 동구 방축로 인천의료원 앞 (방축고가교 → 산업용품센터4),37.4784740800,126.6675158000,인천 동구 방축로 인천의료원 앞 (방축고가교 → 산업용품센터4),1,60,,,,2011,인천지방경찰청,032-455-2352,2020-06-30
F6601,인천광역시,남동구,특별시도,22번,인주대로,2,,인천 남동구 장수서창동 644-1,37.4471457800,126.7510279000,인천 남동구 인주대로 구간 (치야고개3→장승백이4),1,60,,,,2011,인천지방경찰청,032-455-2352,2020-06-30
F6603,인천광역시,서구,특별시도,52번,원당대로,1,,인천 서구 원당동 463,37.5920374500,126.7131630000,인천 서구 원당대로 구간 (원당4 → 유현4),1,60,,,,2011,인천지방경찰청,032-455-2352,2020-06-30
F6604,인천광역시,서구,특별시도,52번,원당대로,2,,인천 서구 검단3동 449-2,37.5926710000,126.7143577000,인천 서구 원당대로 SK주유소 앞 (유현4 → 원당4),1,60,,,,2011,인천지방경찰청,032-455-2352,2020-06-30
F6605,인천광역시,서구,지방도,84번,서곶로,2,,인천 서구 검암경서동 170-1,37.5730732000,126.6766136000,인천 서구 서곶로 시천교 구간 (검암4 → 독정역),1,60,,,,2011,인천지방경찰청,032-455-2352,2020-06-30
F6606,인천광역시,계양구,특별시도,50번,드림로,2,,인천 계양구 드림로 구간 (수송도로3 → 장기4),37.5854531500,126.7693752000,인천 계양구 드림로 구간 (수송도로3 → 장기4),1,60,,,,2011,인천지방경찰청,032-455-2352,2020-06-30
F6737,인천광역시,남동구,지방도,84번,남동대로,1,,인천 남동구 구월동 1144-15,37.4510190600,126.7076509000,인천 남동구 남동대로 767 LG전자베스트샵 앞 (석천4 → 길병원4),1,50,,,,2012,인천지방경찰청,032-455-2352,2020-06-30
F6846,인천광역시,서구,기타,105번,청마로,1,,인천 서구 검단4동 산217-9,37.5908305700,126.6702831000,인천 서구 청마로 당하중학교 앞 (원당대로 → 검단힐스테이트),2,40,,,,2013,인천지방경찰청,032-455-2352,2020-06-30
F6847,인천광역시,서구,기타,105번,청마로,1,,인천 서구 당하동 918-6,37.5902813900,126.6769824000,인천 서구 청마로 당하초교 건너편 (원당대로 → 당하KCC스위첸),2,30,,,2,2013,인천지방경찰청,032-455-2352,2020-06-30
F7020,인천광역시,남동구,기타,98번,아암대로,3,,인천 남동구 아암대로 에코메트로 10단지 앞 (면허시험장 → 소래포구),37.3908301600,126.7301437000,인천 남동구 아암대로 에코메트로 10단지 앞 (면허시험장 → 소래포구),1,50,,,2,2013,인천지방경찰청,032-455-2352,2020-06-30
F7021,인천광역시,연수구,특별시도,21번,컨벤시아대로,1,,인천 연수구 컨벤시아대로 송도더프라우아파트앞 (청학4 → 컨벤시아4),37.3983666600,126.6524368000,인천 연수구 컨벤시아대로 송도더프라우아파트앞 (청학4 → 컨벤시아4),1,60,,,,2013,인천지방경찰청,032-455-2352,2020-06-30
F7022,인천광역시,중구,고속국도,130번,공항고속도로,1,,인천 중구 운서동 1454-2,37.4948291400,126.4956154000,인천 중구 운서동 공항고속도로 2.85km (공항입구JC → 공항신도시JC),1,100,,,,2013,인천지방경찰청,032-455-2352,2020-06-30
F7023,인천광역시,미추홀구,특별시도,28번,석정로,1,,인천 주안5동 주안동 23-1번지 101호 주안프라움에스 남구 인천 KR,37.4665798300,126.6819914000,인천 미추홀구 석정로 주안역뒤4  (도화5 → 이화4),2,60,,,,2013,인천지방경찰청,032-455-2352,2020-06-30
F7024,인천광역시,남동구,특별시도,51번,논고개로,1,,인천 남동구 논현2동 310-1,37.4077039600,126.7227647000,인천 남동구 논고개로 향기나는교회 앞 (도림4 → 논현역),2,60,,,,2013,인천지방경찰청,032-455-2352,2020-06-30
F7025,인천광역시,부평구,기타,28번,열우물로,1,,인천 부평구 십정1동 289-8,37.4752724700,126.6977188000,인천 부평구 열우물로 십정초교 앞 (동암역 → 열우물4),2,60,,,2,2013,인천지방경찰청,032-455-2352,2020-06-30
F7026,인천광역시,계양구,특별시도,53번,장제로,2,,인천 계양구 귤현동 357-36,37.5660807200,126.7424867000,인천 계양구 장제로 귤현역 앞 (박촌역 -> 계양대교),2,60,,,,2013,인천지방경찰청,032-455-2352,2020-06-30
F7027,인천광역시,부평구,특별시도,42번,평천로,1,,인천 부평구 평천로 신성미소지움아파트 앞 (삼산4 → 영선고3),37.5169696900,126.7402122000,인천 부평구 평천로 신성미소지움아파트 앞 (삼산4 → 영선고3),2,60,,,,2013,인천지방경찰청,032-455-2352,2020-06-30
F7028,인천광역시,서구,기타,54번,단봉로,1,,인천 서구 왕길동 510-12,37.5975694400,126.6385243000,인천 서구 단봉로 단봉초교 건너편 (검단오류역 → 왕길지하차도),2,30,,,2,2013,인천지방경찰청,032-455-2352,2020-06-30
F7029,인천광역시,서구,기타,54번,단봉로,2,,인천 서구 검단1동 484-1,37.5977703900,126.6393356000,인천 서구 단봉로 단봉초교 앞 (왕길지하차도 → 검단오류역),2,30,,,2,2013,인천지방경찰청,032-455-2352,2020-06-30
F7104,인천광역시,서구,지방도,84번,봉수대로,3,,인천 서구 봉수대로 백석대교 구간 (다구리들4 → 한들4),37.5744767300,126.6635287000,인천 서구 봉수대로 백석대교 구간 (다구리들4 → 한들4),1,60,,,,2013,인천지방경찰청,032-455-2352,2020-06-30
F7105,인천광역시,서구,지방도,84번,봉수대로,3,,인천 서구 봉수대로 백석대교 구간 (한들4 → 다구리들4),37.5674016800,126.6636360000,인천 서구 봉수대로 백석대교 구간 (한들4 → 다구리들4),1,60,,,,2013,인천지방경찰청,032-455-2352,2020-06-30
F7285,인천광역시,계양구,특별시도,53번,동양로,2,,인천 계양구 계양1동 169-11,37.5544658700,126.7483884000,인천 계양구 서부간선로 계양하우스토리 앞 (귤현역 → 용종4),1,60,,,,2013,인천지방경찰청,032-455-2352,2020-06-30
F7286,인천광역시,부평구,특별시도,17번,서달로,2,,인천 부평구 청천1동 58-87,37.5226016500,126.6893685000,인천 부평구 서달로 308 대상주유소 앞 (서구문화회관 → 청수4),1,60,,,,2013,인천지방경찰청,032-455-2352,2020-06-30
F7287,인천광역시,남동구,특별시도,57번,무네미로,1,,인천 남동구 장수서창동 405-5,37.4630405800,126.7518504000,인천 남동구 무네미로 수현3 (구산4 → 장수4),1,60,,,,2013,인천지방경찰청,032-455-2352,2020-06-30
F7288,인천광역시,부평구,기타,316번,충선로,1,,인천 부평구 충선로 293 영선초교 앞 (삼산중4 → 삼산2교4),37.5155677600,126.7351742000,인천 부평구 충선로 293 영선초교 앞 (삼산중4 → 삼산2교4),2,30,,,2,2013,인천지방경찰청,032-455-2352,2020-06-30
F7289,인천광역시,남동구,특별시도,16번,비류대로,1,,인천 남동구 남촌도림동 191-7,37.4210231700,126.7319403000,인천 남동구 비류대로 도림4 (큰방죽4 → 주적골3),2,60,,,,2013,인천지방경찰청,032-455-2352,2020-06-30
F7290,인천광역시,서구,특별시도,52번,원당대로,1,,인천 서구 마전동 559-13,37.5934562500,126.6743212000,인천 서구 원당대로 완정4 (안동포4 → 원당4),2,60,,,,2013,인천지방경찰청,032-455-2352,2020-06-30
F7442,인천광역시,계양구,특별시도,48번,정서진로,2,,인천 계양구 목상동 166-12,37.5713756300,126.7100750000,인천 계양구 정서진로(아라뱃길 남측경관도로) (다남교 → 목상교차로),1,50,,,,2014,인천지방경찰청,032-455-2352,2020-06-30
F7443,인천광역시,계양구,특별시도,48번,정서진로,1,,인천 계양구 다남동 82-103,37.5722430000,126.7292045000,인천 계양구 정서진로(아라뱃길 남측경관도로) (목상교차로 → 다남교),1,50,,,,2014,인천지방경찰청,032-455-2352,2020-06-30
F7444,인천광역시,계양구,특별시도,48번,정서진로,1,,인천 계양구 귤현동 1-65,37.5732511500,126.7560101000,인천 계양구 정서진로(아라뱃길 남측경관도로) (다남교 → 벌말교),1,50,,,,2014,인천지방경찰청,032-455-2352,2020-06-30
F7445,인천광역시,계양구,특별시도,48번,정서진로,2,,인천 계양구 상야동 414-1,37.5754152300,126.7627961000,인천 계양구 정서진로(아라뱃길 남측경관도로) (벌말교 → 다남교),1,50,,,,2014,인천지방경찰청,032-455-2352,2020-06-30
F7446,인천광역시,부평구,특별시도,38번,길주로,2,,인천 부평구 삼산2동 461-5,37.5069688100,126.7360885000,인천 부평구 길주로 충선4 (삼산체육관4 → 신복4),2,60,,,,2014,인천지방경찰청,032-455-2352,2020-06-30
F7447,인천광역시,계양구,기타,53번,장제로,3,,인천 계양구 장기동 117-8,37.5779572000,126.7323091000,인천 계양구 장제로 인혜학교 앞 (장기4 → 유현4),2,60,,,2,2014,인천지방경찰청,032-455-2352,2020-06-30
F7448,인천광역시,계양구,기타,53번,장제로,3,,인천 계양구 계양1동 89-6,37.5776271900,126.7324248000,인천 계양구 장제로 인혜학교 건너편 (유현4 → 장기4),2,60,,,2,2014,인천지방경찰청,032-455-2352,2020-06-30
F8057,인천광역시,계양구,특별시도,44번,봉오대로,1,,인천 계양구 봉오대로 중앙하이츠 아파트 앞 (작전역 → 까치말4),37.5301331400,126.7305677000,인천 계양구 봉오대로 중앙하이츠 아파트 앞 (작전역 → 까치말4),1,60,,,,2015,인천지방경찰청,032-455-2352,2020-06-30
F8058,인천광역시,부평구,특별시도,38번,길주로,1,,인천 부평구 길주로 신트리공원 앞 (부평구청 → 굴포천역),37.5071145800,126.7269146000,인천 부평구 길주로 신트리공원 앞 (부평구청 → 굴포천역),1,60,,,,2015,인천지방경찰청,032-455-2352,2020-06-30
F8059,인천광역시,연수구,특별시도,16번,비류대로,1,,인천 연수구 비류대로 함박초교 앞 (청학4 → 수리봉4),37.4243422000,126.6788649000,인천 연수구 비류대로 함박초교 앞 (청학4 → 수리봉4),1,60,,,,2015,인천지방경찰청,032-455-2352,2020-06-30
F8060,인천광역시,남동구,특별시도,57번,무네미로,1,,인천 남동구 장수동 산138-5,37.4538339800,126.7480838000,인천 남동구 무네미로 인천대공원 앞 (장수4 → 장수IC),1,70,,,,2015,인천지방경찰청,032-455-2352,2020-06-30
F8061,인천광역시,서구,특별시도,28번,원적로,1,,인천 서구 원적로 나은병원 앞 (건지4 → 가재울4),37.4900182900,126.6800683000,인천 서구 원적로 나은병원 앞 (건지4 → 가재울4),1,60,,,,2015,인천지방경찰청,032-455-2352,2020-06-30
F8062,인천광역시,계양구,특별시도,46번,경명대로,1,,인천 계양구 용종동 215-4,37.5434907100,126.7424261000,인천 계양구 경명대로 임학지하차도4 (임학4 → 계양IC),2,60,,,,2015,인천지방경찰청,032-455-2352,2020-06-30
F8063,인천광역시,미추홀구,특별시도,26번,주안로,2,,인천 남구 주안1동 118-5,37.4638931500,126.6857564000,인천 미추홀구 주안로 식품의약품안전청 앞 (간석역 → 주안역),2,60,,,,2015,인천지방경찰청,032-455-2352,2020-06-30
F8064,인천광역시,부평구,특별시도,28번,원적로,1,,인천 부평구 산곡2동 159-42,37.5042134800,126.7036540000,인천 부평구 원적로 원적4 (건지4 → 부평전화국4),2,60,,,,2015,인천지방경찰청,032-455-2352,2020-06-30
F8065,인천광역시,중구,특별시도,258번,축항대로,2,,인천 중구 항동7가 29-9,37.4536622100,126.6147544000,인천 중구 축항대로 SK인항주유소 앞 (서해4 → 연안부두),2,60,,,,2015,인천지방경찰청,032-455-2352,2020-06-30
F8066,인천광역시,남동구,특별시도,32번,백범로,1,,인천 남동구 간석동 171-1,37.4652394600,126.7114556000,인천 남동구 백범로 교직원공제회관 앞 (간석고가 → 간석시장4),2,50,,,,2015,인천지방경찰청,032-455-2352,2020-06-30
F8071,인천광역시,동구,특별시도,22번,인중로,2,,인천 동구 송림동 22-324,37.4808152300,126.6454119000,인천 동구 인중로 백병원 앞 (송림3 → 송현4),2,50,,,,2015,인천지방경찰청,032-455-2352,2020-06-30
F8072,인천광역시,서구,기타,269번,경제로,1,,인천 서구 경제로 광명메이루즈아파트 앞 (제2청라4 → 충민교동측4),37.5359269200,126.6535157000,인천 서구 경제로 광명메이루즈아파트 앞 (제2청라4 → 충민교동측4),2,60,,,,2015,인천지방경찰청,032-455-2352,2020-06-30
F8073,인천광역시,서구,기타,259번,국제대로,2,,인천 서구 국제대로 웰카운티아파트 건너편 (샘내들4 → 한전 서인천지사),37.5404739700,126.6594340000,인천 서구 국제대로 웰카운티아파트 건너편 (샘내들4 → 한전 서인천지사),2,60,,,,2015,인천지방경찰청,032-455-2352,2020-06-30
F8074,인천광역시,서구,기타,259번,국제대로,1,,인천 서구 국제대로 한라비발디아파트 381동 앞 (공촌3교4 → 한전 서인천지사),37.5416692200,126.6368337000,인천 서구 국제대로 한라비발디아파트 381동 앞 (공촌3교4 → 한전 서인천지사),2,60,,,,2015,인천지방경찰청,032-455-2352,2020-06-30
F8075,인천광역시,서구,기타,259번,국제대로,2,,인천 서구 국제대로 한라비발디아파트 389동 건너편 (한전 서인천지사 → 베어즈베스트 골프클럽),37.5419839800,126.6402133000,인천 서구 국제대로 한라비발디아파트 389동 건너편 (한전 서인천지사 → 베어즈베스트 골프클럽),2,60,,,,2015,인천지방경찰청,032-455-2352,2020-06-30
F8076,인천광역시,서구,기타,92번,담지로,1,,인천 서구 담지로 서진프라자 앞 (웰카운티아파트 → 청라국제도서관),37.5340678200,126.6596271000,인천 서구 담지로 서진프라자 앞 (웰카운티아파트 → 청라국제도서관),2,60,,,,2015,인천지방경찰청,032-455-2352,2020-06-30
F8077,인천광역시,서구,기타,92번,담지로,2,,인천 서구 담지로 청라고등학교 앞 (청라국제도서관 → 웰카운티아파트),37.5364880100,126.6599678000,인천 서구 담지로 청라고등학교 앞 (청라국제도서관 → 웰카운티아파트),2,60,,,,2015,인천지방경찰청,032-455-2352,2020-06-30
F8078,인천광역시,서구,기타,118번,사파이어로,2,,인천 서구 사파이어로 청라반도유보라아파트 앞 (청라외교3 → 환승센터4),37.5248104200,126.6263758000,인천 서구 사파이어로 청라반도유보라아파트 앞 혜원초교 부근 (청라외교3 → 환승센터4),2,30,,,2,2015,인천지방경찰청,032-455-2352,2020-06-30
F8079,인천광역시,서구,지방도,84번,중봉대로,1,,인천 서구 중봉대로 롯데마트 앞 (제2청라4 → 제1청라4),37.5315135200,126.6492847000,인천 서구 중봉대로 롯데마트 앞 (제2청라4 → 제1청라4),2,60,,,,2015,인천지방경찰청,032-455-2352,2020-06-30
F8080,인천광역시,서구,지방도,84번,중봉대로,1,,인천 서구 중봉대로 제일풍경채아파트 앞 (경서3 → 제2청라4),37.5400297100,126.6496495000,인천 서구 중봉대로 제일풍경채아파트 앞 (경서3 → 제2청라4),2,60,,,,2015,인천지방경찰청,032-455-2352,2020-06-30
F8081,인천광역시,서구,지방도,84번,중봉대로,2,,인천 서구 중봉대로 호반베르디움 1차아파트 앞 (제1청라4 → 제3청라4),37.5364140600,126.6500035000,인천 서구 중봉대로 호반베르디움 1차아파트 앞 (제1청라4 → 제3청라4),2,60,,,,2015,인천지방경찰청,032-455-2352,2020-06-30
F8082,인천광역시,서구,기타,228번,청라대로,2,,인천 서구 청라대로 베어즈베스트 골프클럽 앞 (공촌3교4 → 북인천IC입구4),37.5454571000,126.6321186000,인천 서구 청라대로 베어즈베스트 골프클럽 앞 (공촌3교4 → 북인천IC입구4),2,60,,,,2015,인천지방경찰청,032-455-2352,2020-06-30
F8083,인천광역시,서구,기타,228번,청라대로,1,,인천 서구 청라대로 베어즈베스트 골프클럽 건너편 (북인천IC입구4 → 공촌3교4),37.5551616000,126.6351329000,인천 서구 청라대로 베어즈베스트 골프클럽 건너편 (북인천IC입구4 → 공촌3교4),2,60,,,,2015,인천지방경찰청,032-455-2352,2020-06-30
F8084,인천광역시,서구,기타,26번,청라라임로,2,,인천 서구 청라라임로 청라중학교 앞 (충민교서측4 → 라임3),37.5376446300,126.6533494000,인천 서구 청라라임로 청라중학교 앞 (충민교서측4 → 라임3),2,30,,,2,2015,인천지방경찰청,032-455-2352,2020-06-30
F8085,인천광역시,서구,기타,54번,청라루비로,1,,인천 서구 청라루비로 청라푸르지오아파트 앞 (장숙교서측4 → 숙위교서측4),37.5340335200,126.6404280000,인천 서구 청라루비로 청라푸르지오아파트 앞 (장숙교서측4 → 숙위교서측4),2,60,,,,2015,인천지방경찰청,032-455-2352,2020-06-30
F8086,인천광역시,서구,기타,54번,청라루비로,2,,인천 서구 청라루비로 청라한일아파트 앞 (숙위교서측4 → 장숙교서측4),37.5318767500,126.6407391000,인천 서구 청라루비로 청라한일아파트 앞 (숙위교서측4 → 장숙교서측4),2,60,,,,2015,인천지방경찰청,032-455-2352,2020-06-30
F8087,인천광역시,서구,기타,128번,청라에메랄드로,2,,인천 서구 청라에메랄드로 청라초교 앞 (충민교동측4 → 에머랄드3),37.5371256700,126.6563567000,인천 서구 청라에메랄드로 청라초교 앞 (충민교동측4 → 에머랄드3),2,30,,,2,2015,인천지방경찰청,032-455-2352,2020-06-30
F8088,인천광역시,서구,지방도,84번,서곶로,1,,인천 서구 검암경서동 57-11,37.5795188300,126.6751426000,인천 서구 서곶로 백석중학교 앞 (독정4 → 검암4),2,60,,,,2015,인천지방경찰청,032-455-2352,2020-06-30
F8089,인천광역시,서구,기타,467번,청중로,1,,인천 서구 청중로 초은고등학교 앞 (제1청라4 → 봉오재4),37.5297605100,126.6566935000,인천 서구 청중로 초은고등학교 앞 (제1청라4 → 봉오재4),2,60,,,2,2015,인천지방경찰청,032-455-2352,2020-06-30
F8090,인천광역시,서구,기타,467번,청중로,2,,인천 서구 청중로 호반베르디움 3차아파트 앞 (청라국제도시입구4 → 초은고),37.5301276300,126.6593598000,인천 서구 청중로 호반베르디움 3차아파트 앞 (청라국제도시입구4 → 초은고),2,60,,,,2015,인천지방경찰청,032-455-2352,2020-06-30
F8091,인천광역시,서구,기타,54번,크리스탈로,2,,인천 서구 크리스탈로 청일초교 앞 (호수2교3 → 청일초3),37.5292216400,126.6367061000,인천 서구 크리스탈로 청일초교 앞 (호수2교3 → 청일초3),1,30,,,2,2015,인천지방경찰청,032-455-2352,2020-06-30
F8092,인천광역시,서구,기타,54번,크리스탈로,2,,인천 서구 크리스탈로 경명초교 앞 (경명초3 → 크리스탈3),37.5366666700,126.6366667000,인천 서구 크리스탈로 경명초교 앞 (경명초3 → 크리스탈3),1,30,,,2,2015,인천지방경찰청,032-455-2352,2020-06-30
F8093,경기도,김포시,고속국도,100번,외곽순환고속도로,2,,경기도 김포시 고촌읍 신곡리 744-6,37.5964983800,126.7733667000,"경기도 김포시 고촌읍 외곽순환고속도로 75.5km 1,3차로 (자유로JC → 김포TG)",1,100,,,,2015,인천지방경찰청,032-455-2352,2020-06-30
F8150,인천광역시,서구,기타,97번,보듬로,1,,인천 서구 검단1동 1263,37.5895316900,126.6064636000,인천 서구 보듬로 서진이엔지 앞 (지식산업단지 → 폐수종말처리장),2,50,,,,2015,인천지방경찰청,032-455-2352,2020-06-30
F8151,인천광역시,서구,기타,97번,보듬로,2,,인천 서구 보듬로 서진이엔지 건너편 (폐수종말처리장 → 지식산업단지),37.5896967200,126.6069444000,인천 서구 보듬로 서진이엔지 건너편 (폐수종말처리장 → 지식산업단지),2,50,,,,2015,인천지방경찰청,032-455-2352,2020-06-30
F8175,인천광역시,서구,기타,11번,염곡로,1,,인천 서구 연희동 194-3,37.5500850700,126.6688862000,인천 서구 염곡로 아시아드주경기장 주차장 입구 (서곶초교 → 연희지하차도),2,30,,,2,2015,인천지방경찰청,032-455-2352,2020-06-30
F8176,인천광역시,서구,기타,11번,염곡로,2,,인천 서구 심곡동 110-6,37.5415810800,126.6695991000,인천 서구 염곡로 광명아파트 앞 (서곶초교 → 양지초교),2,30,,,2,2015,인천지방경찰청,032-455-2352,2020-06-30
F8177,인천광역시,계양구,특별시도,53번,서부간선로,3,,인천 계양구 계양2동 72-3,37.5478189600,126.7460934000,인천 계양구 서부간선로 용종지하차도 앞 (귤현역 → 용종4),2,60,,,,2015,인천지방경찰청,032-455-2352,2020-06-30
F8178,인천광역시,계양구,특별시도,53번,서부간선로,3,,인천 계양구 병방동 71-3,37.5473377700,126.7461433000,인천 계양구 서부간선로 용종지하차도 앞 (용정4 → 귤현역),2,60,,,,2015,인천지방경찰청,032-455-2352,2020-06-30
F8179,경기도,광명시,고속국도,110번,제2경인고속도로,1,,경기도 광명시 소하동 제2경인고속도로 22.9km (일직JC → 광명IC),37.4289886000,126.8782957000,경기도 광명시 소하동 제2경인고속도로 22.9km (일직JC → 광명IC),1,100,,,,2015,인천지방경찰청,032-455-2352,2020-06-30
F8180,경기도,광명시,고속국도,110번,제2경인고속도로,2,,경기도 광명시 소하동 제2경인고속도로 23.3km (광명IC → 일직JC),37.4270819200,126.8821077000,경기도 광명시 소하동 제2경인고속도로 23.3km (광명IC → 일직JC),1,100,,,,2015,인천지방경찰청,032-455-2352,2020-06-30
